name,energy
885.optdone,-315.1394958496094
149.optdone,-315.13885498046875
1426.optdone,-315.1302795410156
1377.optdone,-315.12591552734375
265.optdone,-315.1246643066406
1360.optdone,-315.12237548828125
1193.optdone,-315.1128234863281
1321.optdone,-315.1007995605469
931.optdone,-315.09130859375
1012.optdone,-315.08465576171875
323.optdone,-315.0832214355469
1127.optdone,-315.0819091796875
1225.optdone,-315.0784606933594
1367.optdone,-315.0775451660156
672.optdone,-315.0758361816406
560.optdone,-315.0692443847656
1007.optdone,-315.066162109375
903.optdone,-315.0599670410156
125.optdone,-315.0590515136719
856.optdone,-315.05682373046875
449.optdone,-315.052734375
1220.optdone,-315.04620361328125
472.optdone,-315.0450744628906
909.optdone,-315.0440979003906
851.optdone,-315.0401611328125
1373.optdone,-315.03240966796875
427.optdone,-315.0250244140625
1270.optdone,-314.9987487792969
597.optdone,-314.984375
1238.optdone,-314.9797058105469
1291.optdone,-314.9758605957031
1209.optdone,-314.9737854003906
1364.optdone,-314.9737854003906
207.optdone,-314.9730224609375
321.optdone,-314.95953369140625
1315.optdone,-314.9520568847656
410.optdone,-314.94122314453125
1348.optdone,-314.9281921386719
810.optdone,-314.9269104003906
657.optdone,-314.9264221191406
181.optdone,-314.921142578125
568.optdone,-314.9176330566406
357.optdone,-314.9154052734375
1176.optdone,-314.9131164550781
710.optdone,-314.9045715332031
1336.optdone,-314.897705078125
720.optdone,-314.8930358886719
154.optdone,-314.8924255371094
1398.optdone,-314.89019775390625
1392.optdone,-314.8827209472656
995.optdone,-314.8750915527344
1091.optdone,-314.87457275390625
1458.optdone,-314.87384033203125
115.optdone,-314.8726806640625
714.optdone,-314.86798095703125
664.optdone,-314.86627197265625
548.optdone,-314.8646240234375
1245.optdone,-314.8587646484375
174.optdone,-314.85614013671875
57.optdone,-314.848876953125
15.optdone,-314.8485412597656
139.optdone,-314.8464050292969
1354.optdone,-314.8435363769531
328.optdone,-314.83563232421875
987.optdone,-314.8312072753906
667.optdone,-314.81719970703125
940.optdone,-314.80975341796875
758.optdone,-314.80908203125
692.optdone,-314.79876708984375
1410.optdone,-314.79449462890625
709.optdone,-314.78985595703125
894.optdone,-314.7872009277344
1423.optdone,-314.78515625
413.optdone,-314.7809753417969
830.optdone,-314.77752685546875
756.optdone,-314.77081298828125
110.optdone,-314.7579650878906
737.optdone,-314.75067138671875
1271.optdone,-314.74896240234375
459.optdone,-314.74700927734375
310.optdone,-314.7437438964844
128.optdone,-314.7284851074219
979.optdone,-314.7222595214844
1316.optdone,-314.7203674316406
895.optdone,-314.7164001464844
662.optdone,-314.71124267578125
884.optdone,-314.7109375
1416.optdone,-314.7091979980469
1325.optdone,-314.7055969238281
1241.optdone,-314.7001953125
1057.optdone,-314.6938781738281
962.optdone,-314.6846923828125
222.optdone,-314.68035888671875
858.optdone,-314.671142578125
916.optdone,-314.6656799316406
252.optdone,-314.6627197265625
271.optdone,-314.6610107421875
1118.optdone,-314.6590576171875
1337.optdone,-314.6423645019531
803.optdone,-314.62908935546875
1303.optdone,-314.6213073730469
1076.optdone,-314.6192321777344
1496.optdone,-314.610595703125
1411.optdone,-314.6089172363281
892.optdone,-314.60736083984375
963.optdone,-314.59454345703125
484.optdone,-314.59014892578125
1361.optdone,-314.58868408203125
1362.optdone,-314.5845642089844
173.optdone,-314.58233642578125
338.optdone,-314.5820007324219
996.optdone,-314.5809020996094
277.optdone,-314.5787353515625
914.optdone,-314.5731201171875
1038.optdone,-314.56732177734375
281.optdone,-314.5651550292969
422.optdone,-314.56036376953125
1096.optdone,-314.5595703125
1430.optdone,-314.55950927734375
467.optdone,-314.5534362792969
1322.optdone,-314.5520324707031
373.optdone,-314.54693603515625
1078.optdone,-314.5453186035156
12.optdone,-314.540771484375
783.optdone,-314.5400695800781
5.optdone,-314.53564453125
468.optdone,-314.53179931640625
823.optdone,-314.5269470214844
341.optdone,-314.5264587402344
133.optdone,-314.5195617675781
890.optdone,-314.51556396484375
937.optdone,-314.5093688964844
922.optdone,-314.5089416503906
1056.optdone,-314.5050354003906
981.optdone,-314.4967041015625
535.optdone,-314.4945983886719
