structure_id,n_surface,n_bulk,r_thr,r_max,center_x,center_y,center_z,alpha_Bi__bulk,alpha_Bi__surface,alpha_Co__bulk,alpha_Co__surface,alpha_La__bulk,alpha_La__surface,alpha_Ni__bulk,alpha_Ni__surface,alpha_Sn__bulk,alpha_Sn__surface
1336.optdone,56,12,3.7269902351955655,7.453980470391131,22.38249783754763,22.529907637562218,22.031611490581454,-0.2142857142857144,0.04591836734693877,0.1282051282051282,-0.027472527472527597,-0.2142857142857144,0.04591836734693877,-0.7435897435897436,0.15934065934065922,1.0,-0.2142857142857144
1337.optdone,60,8,3.5123383206115064,7.024676641223013,22.304870092458742,22.408971498312457,22.43143943405143,-0.2142857142857144,0.02857142857142847,0.34615384615384615,-0.04615384615384621,-0.2142857142857144,0.02857142857142847,-0.3076923076923077,0.04102564102564099,0.3928571428571428,-0.05238095238095242
1338.optdone,54,14,3.755449921487809,7.510899842975618,22.193109875791087,22.394052815304967,22.65374823465496,-0.3877551020408163,0.10052910052910058,-0.1208791208791209,0.031339031339031376,1.0,-0.2592592592592593,-0.1208791208791209,0.031339031339031376,-0.3877551020408163,0.10052910052910058
1339.optdone,60,8,3.4451958082381906,6.890391616476381,22.6476571777803,22.70875305140839,22.497069581476598,0.3928571428571428,-0.05238095238095242,-0.3076923076923077,0.04102564102564099,-0.2142857142857144,0.02857142857142847,1.0,-0.13333333333333353,-0.8214285714285716,0.10952380952380958
1340.optdone,59,9,3.29562027929454,6.59124055858908,22.31932623468924,22.03685866351608,22.252726409135235,-0.0793650793650793,0.012106537530266248,-0.7435897435897436,0.11342894393741854,-0.0793650793650793,0.012106537530266248,0.41880341880341876,-0.06388526727509802,0.46031746031746035,-0.07021791767554486
1341.optdone,55,13,3.651630664700881,7.303261329401762,22.537868525793062,22.42557611600692,22.6045600930402,0.6263736263736264,-0.148051948051948,0.195266272189349,-0.04615384615384621,0.2527472527472526,-0.05974025974025965,-0.609467455621302,0.14405594405594402,-0.49450549450549475,0.11688311688311681
1342.optdone,60,8,3.5239696208963034,7.047939241792607,22.519566014287236,22.527930887863963,22.39328840304151,-0.8214285714285716,0.10952380952380958,0.34615384615384615,-0.04615384615384621,-0.2142857142857144,0.02857142857142847,1.0,-0.13333333333333353,-0.2142857142857144,0.02857142857142847
1343.optdone,62,6,3.4676606812650084,6.935321362530017,22.23069559336115,22.355290758089666,21.962970902748808,-1.4285714285714288,0.13824884792626724,0.1282051282051282,-0.012406947890818865,0.19047619047619047,-0.018433179723502446,1.0,-0.09677419354838723,0.19047619047619047,-0.018433179723502446
1345.optdone,52,16,3.7791139089849883,7.558227817969977,22.414671042188548,22.801849944283028,22.493685348455056,0.6964285714285714,-0.2142857142857144,-0.6346153846153848,0.195266272189349,0.08928571428571419,-0.027472527472527597,-0.6346153846153848,0.195266272189349,0.3928571428571428,-0.1208791208791209
1346.optdone,58,10,3.6010959109883585,7.202191821976717,22.657284980179114,22.351151610040013,22.439110604015063,-0.9428571428571431,0.16256157635467972,-0.04615384615384621,0.007957559681697646,0.02857142857142847,-0.0049261083743843415,0.4769230769230769,-0.08222811671087538,0.5142857142857142,-0.08866995073891637
1347.optdone,56,12,3.6794279654732294,7.358855930946459,22.104879553272465,22.465647514513517,22.570026844582557,0.19047619047619047,-0.04081632653061229,0.1282051282051282,-0.027472527472527597,0.19047619047619047,-0.04081632653061229,-1.1794871794871797,0.25274725274725274,0.5952380952380952,-0.12755102040816335
1348.optdone,58,10,3.5521773243488854,7.104354648697771,22.590707351967247,22.19253303872392,22.17116819624558,0.5142857142857142,-0.08866995073891637,0.4769230769230769,-0.08222811671087538,0.5142857142857142,-0.08866995073891637,-0.5692307692307692,0.09814323607427045,-0.9428571428571431,0.16256157635467972
1349.optdone,62,6,3.456425504185629,6.912851008371258,22.27118311224063,22.166131034199932,22.561956099009166,-0.6190476190476191,0.05990783410138245,1.0,-0.09677419354838723,-2.238095238095238,0.21658986175115202,1.0,-0.09677419354838723,1.0,-0.09677419354838701
1351.optdone,56,12,3.8138664641516167,7.627732928303233,22.265468259413144,22.65934616668353,22.54137393891276,-0.2142857142857144,0.04591836734693877,0.1282051282051282,-0.027472527472527597,0.5952380952380952,-0.12755102040816335,-1.1794871794871797,0.25274725274725274,0.5952380952380952,-0.12755102040816335
1352.optdone,55,13,3.5643921835323207,7.128784367064641,22.25073945224768,22.353999646506352,22.29585110594211,0.6263736263736264,-0.148051948051948,-0.2071005917159765,0.04895104895104885,0.2527472527472526,-0.05974025974025965,-0.2071005917159765,0.04895104895104885,-0.49450549450549475,0.11688311688311681
1353.optdone,58,10,3.4977803114615464,6.995560622923093,22.524513438176555,22.591077594831596,22.577665553129254,1.0,-0.1724137931034484,0.4769230769230769,-0.08222811671087538,-0.4571428571428571,0.0788177339901478,-0.5692307692307692,0.09814323607427045,-0.4571428571428571,0.0788177339901478
