elem,material_id_a,adsorbate_type_a,material_id_b,adsorbate_type_b,similarity,delta_G_OCHO,delta_G_COOH
Co,CONTCAR-7_Co_63-1_Co_6,OCHO,CONTCAR-1_Co_53,COOH,-0.9053380997157504,-7.35717999999998,-5.740449999999985
Co,CONTCAR-7_Co_63-1_Co_6,OCHO,CONTCAR-2_Co_9,COOH,-0.38739491246617164,-7.35717999999998,0.5825799999999748
Co,CONTCAR-7_Co_63-1_Co_6,OCHO,CONTCAR-3_Co_1,COOH,0.1600841605151909,-7.35717999999998,-4.1793800000000125
Co,CONTCAR-7_Co_63-1_Co_6,OCHO,CONTCAR-4_Co_61,COOH,-0.8156007276952069,-7.35717999999998,-2.17048000000003
Co,CONTCAR-7_Co_63-1_Co_6,OCHO,CONTCAR-5_Co_23,COOH,-0.1589447649474112,-7.35717999999998,-5.775650000000017
Co,CONTCAR-7_Co_63-1_Co_6,OCHO,CONTCAR-6_Co_18,COOH,0.4082225103427291,-7.35717999999998,-6.595600000000022
Co,CONTCAR-7_Co_63-1_Co_6,OCHO,CONTCAR-7_Co_16,COOH,-0.2935209639884302,-7.35717999999998,-5.542940000000019
Co,CONTCAR-7_Co_63-1_Co_6,OCHO,CONTCAR-8_Co_10,COOH,-0.7606838913554955,-7.35717999999998,-0.5955500000000353
Co,CONTCAR-7_Co_63-1_Co_6,OCHO,CONTCAR-9_Co_8,COOH,-0.4714227155224917,-7.35717999999998,-6.299350000000036
Co,CONTCAR-8_Co_1-1_Co_67,OCHO,CONTCAR-1_Co_53,COOH,-0.7789410772626288,-4.704169999999985,-5.740449999999985
Co,CONTCAR-8_Co_1-1_Co_67,OCHO,CONTCAR-2_Co_9,COOH,-0.10346986311354342,-4.704169999999985,0.5825799999999748
Co,CONTCAR-8_Co_1-1_Co_67,OCHO,CONTCAR-3_Co_1,COOH,0.9154536497077828,-4.704169999999985,-4.1793800000000125
Co,CONTCAR-8_Co_1-1_Co_67,OCHO,CONTCAR-4_Co_61,COOH,-0.45616514605390224,-4.704169999999985,-2.17048000000003
Co,CONTCAR-8_Co_1-1_Co_67,OCHO,CONTCAR-5_Co_23,COOH,-0.61479631420672,-4.704169999999985,-5.775650000000017
Co,CONTCAR-8_Co_1-1_Co_67,OCHO,CONTCAR-6_Co_18,COOH,0.5996516573584398,-4.704169999999985,-6.595600000000022
