structure_id,n_surface,n_bulk,r_thr,r_max,center_x,center_y,center_z,alpha_Bi__bulk,alpha_Bi__surface,alpha_La__bulk,alpha_La__surface,alpha_Sn__bulk,alpha_Sn__surface
448.optdone,60,8,4.133222915979032,8.266445831958064,22.905577199316134,22.858705510681986,22.7426600678778,-0.5454545454545454,0.07272727272727286,-0.10869565217391308,0.01449275362318847,0.6304347826086957,-0.08405797101449264
449.optdone,59,9,3.886997818968235,7.77399563793647,22.688149642032357,22.800140960962768,22.924322371872016,0.31313131313131315,-0.047765793528505185,0.01449275362318847,-0.002210759027265974,-0.31400966183574863,0.04789977892409736
450.optdone,56,12,4.119267485434434,8.238534970868868,22.93069994726187,22.971725323155738,22.524727728389013,-0.030303030303030276,0.00649350649350644,-0.4782608695652173,0.10248447204968958,0.5072463768115942,-0.10869565217391308
451.optdone,59,9,4.061330202026045,8.12266040405209,23.105189628387777,23.39517453754552,23.00716927054613,0.6565656565656566,-0.10015408320493058,0.01449275362318847,-0.002210759027265974,-0.642512077294686,0.09801031687546058
453.optdone,56,12,4.332456958225912,8.664913916451823,22.663722475255867,22.748529356202635,22.35719540747649,0.48484848484848486,-0.10389610389610393,-0.4782608695652173,0.10248447204968958,0.01449275362318847,-0.0031055900621117516
455.optdone,61,7,4.01755050833049,8.03510101666098,22.756598829604293,22.587450646298954,22.64255231822715,-0.7662337662337662,0.08792846497764539,-0.26708074534161486,0.03064861012116904,1.0,-0.11475409836065564
456.optdone,57,11,3.9785126466942926,7.957025293388585,22.975085575770393,22.844196459425966,22.887365948472112,-0.12396694214876036,0.02392344497607668,-0.34387351778656106,0.06636155606407335,0.4624505928853755,-0.08924485125858106
459.optdone,59,9,4.015972473723443,8.031944947446886,22.67451371749312,22.7733307654903,23.136954183297593,-0.7171717171717171,0.10939907550077044,0.3429951690821257,-0.052321296978629306,0.3429951690821257,-0.052321296978629306
462.optdone,58,10,3.8190079695652246,7.638015939130449,22.81990923715757,22.730349856519798,22.879296063147347,1.0,-0.17241379310344818,-0.18260869565217397,0.03148425787106457,-0.7739130434782606,0.13343328335832094
463.optdone,57,11,4.006898910142755,8.01379782028551,23.121428184060527,22.940796834629843,23.040130087074253,0.1570247933884299,-0.030303030303030276,-0.6126482213438733,0.11823035850495811,0.4624505928853755,-0.08924485125858106
464.optdone,57,11,4.135041390550262,8.270082781100523,22.409855365777183,22.993835745156613,23.00661114805882,0.1570247933884299,-0.030303030303030276,0.19367588932806334,-0.037376048817696406,-0.34387351778656106,0.06636155606407335
465.optdone,58,10,4.145829715479087,8.291659430958173,22.61202071052481,22.780309745091404,22.821518816823755,0.38181818181818183,-0.0658307210031348,-0.18260869565217397,0.03148425787106457,-0.18260869565217397,0.03148425787106457
466.optdone,58,10,4.1940432696132435,8.388086539226487,22.730219223295403,22.698660048646055,22.79317396580489,0.6909090909090909,-0.11912225705329149,-0.18260869565217397,0.03148425787106457,-0.4782608695652173,0.08245877061469264
467.optdone,57,11,4.086337550136522,8.172675100273043,22.89015365537003,22.72715523421373,22.98570934532487,0.71900826446281,-0.13875598086124397,-0.07509881422924902,0.01449275362318847,-0.6126482213438733,0.11823035850495811
468.optdone,57,11,4.087079119275991,8.174158238551982,22.542866481961994,22.608068355403333,22.734589525327888,0.4380165289256198,-0.08452950558213712,-0.34387351778656106,0.06636155606407335,-0.07509881422924902,0.01449275362318847
469.optdone,60,8,4.106883604140668,8.213767208281336,22.724388282675278,22.62134449697382,22.31950818812789,-0.15909090909090895,0.02121212121212135,-0.4782608695652173,0.06376811594202914,0.6304347826086957,-0.08405797101449264
47.optdone,58,10,4.171982462510359,8.343964925020718,22.735872798448582,23.1022143391109,22.82070496464587,0.38181818181818183,-0.0658307210031348,-0.4782608695652173,0.08245877061469264,0.11304347826086969,-0.019490254872563728
470.optdone,60,8,3.935765522255768,7.871531044511536,22.981356310998553,22.89267065484941,22.89745079892542,0.6136363636363636,-0.08181818181818179,-0.4782608695652173,0.06376811594202914,-0.10869565217391308,0.01449275362318847
471.optdone,52,16,4.429726275676469,8.859452551352938,22.51529963929956,23.200410829299543,22.404634864571722,-0.3522727272727273,0.10839160839160855,0.07608695652173914,-0.02341137123745818,0.26086956521739135,-0.08026755852842804
472.optdone,56,12,4.0378397212285435,8.075679442457087,22.77449080461717,22.941899264341835,23.18859760146412,-0.030303030303030276,0.00649350649350644,-0.4782608695652173,0.10248447204968958,0.5072463768115942,-0.10869565217391308
473.optdone,58,10,3.9281579027180054,7.856315805436011,23.053776467015407,22.50740288608842,22.6268805251132,0.07272727272727286,-0.0125391849529779,-0.18260869565217397,0.03148425787106457,0.11304347826086969,-0.019490254872563728
474.optdone,57,11,4.529230602610057,9.058461205220114,23.01983441175269,22.9577841251134,22.57173290651809,-0.12396694214876036,0.02392344497607668,-0.07509881422924902,0.01449275362318847,0.19367588932806334,-0.037376048817696406
478.optdone,56,12,4.008904717787978,8.017809435575955,22.5374506685733,22.693473499972704,22.577281713688663,0.48484848484848486,-0.10389610389610393,0.01449275362318847,-0.0031055900621117516,-0.4782608695652173,0.10248447204968958
479.optdone,56,12,4.362977455157779,8.725954910315558,22.985883081878878,22.714386582217024,22.7718306659272,-0.28787878787878785,0.06168831168831179,0.5072463768115942,-0.10869565217391308,-0.2318840579710144,0.0496894409937888
48.optdone,56,12,4.1763926742092075,8.352785348418415,22.566062305263074,22.482189761607476,22.69672466225769,0.2272727272727273,-0.04870129870129869,-0.7246376811594204,0.15527950310559013,0.5072463768115942,-0.10869565217391308
482.optdone,55,13,4.352561307140037,8.705122614280073,23.006566990251745,22.753892730377462,22.961137487578736,0.04895104895104896,-0.01157024793388417,-0.36454849498327757,0.0861660079051384,0.3177257525083612,-0.07509881422924902
483.optdone,60,8,4.093584464895524,8.187168929791047,23.10068192539657,22.744425480188983,23.149085364022415,0.2272727272727273,-0.030303030303030276,-0.4782608695652173,0.06376811594202914,0.26086956521739135,-0.03478260869565197
484.optdone,57,11,4.084987234544013,8.169974469088025,22.770702348760008,22.560247469629893,23.0183767660387,0.1570247933884299,-0.030303030303030276,-0.34387351778656106,0.06636155606407335,0.19367588932806334,-0.037376048817696406
485.optdone,56,12,4.397754356796382,8.795508713592763,23.43258587292183,22.82459904546442,22.725143586212784,0.2272727272727273,-0.04870129870129869,-0.7246376811594204,0.15527950310559013,0.5072463768115942,-0.10869565217391308
